CB代號,股票,名稱,產業,轉換價,股票現價,CB理論價,CB現價,CB/理論%,股/轉換%
65331,6533,晶心科一,半導體,308,228.5,74.19,98.5,132.77,74.19
65381,6538,倉和一,機械,104.4,75.4,72.22,92.5,128.08,72.22
65461,6546,正基一,其他電子,149,62.7,42.08,99.2,235.74,42.08
65472,6547,高端疫苗二,生技,37,49.35,133.38,128.85,96.60,133.38
65521,6552,易華電一,其他電子,58.8,32.2,54.76,101.85,185.99,54.76
65761,6576,逸達一,生技,84.3,80,94.90,117.3,123.60,94.90
65841,6584,南俊國際一,其他,177.5,678,381.97,393,102.89,381.97
65842,6584,南俊國際二,其他,191.6,678,353.86,371,104.84,353.86
65851,6585,鼎基一,化學,110.9,84.3,76.01,106,139.45,76.01
65852,6585,鼎基二,化學,110.7,84.3,76.15,100.5,131.97,76.15
65914,6591,動力四KY,其他電子,78.61,57,72.51,95,131.02,72.51
66163,6616,特昇三KY,其他,14.5,9.89,68.21,98.3,144.12,68.21
66241,6624,萬年清一,其他,40.6,49.9,122.91,140,113.91,122.91
66292,6629,泰金二KY,其他,119.8,117.5,98.08,101.85,103.84,98.08
66411,6641,基士德一KY,其他,56.5,18.15,32.12,100,311.29,32.12
66451,6645,金萬林一創,生技,27.87,13.05,46.82,102.95,219.86,46.82
66642,6664,群翊二,其他電子,292.1,464.5,159.02,162,101.87,159.02
66702,6670,復盛應用二,機械,270,251,92.96,114.55,123.22,92.96
66721,6672,騰輝電子一KY,電子零組件,96,219,228.13,223,97.75,228.13
66722,6672,騰輝電子二KY,電子零組件,93,219,235.48,240,101.92,235.48
66801,6680,鑫創電子一,其他電子,73.5,52.9,71.97,101.95,141.65,71.97
67062,6706,惠特二,其他電子,176,151.5,86.08,111.4,129.42,86.08
67152,6715,嘉基二,電子零組件,157.1,400.5,254.93,235,92.18,254.93
67531,6753,龍德造船一,造船,116.6,136,116.64,124.2,106.48,116.64
67681,6768,志強一KY,其他,95.2,78.1,82.04,106.95,130.37,82.04
67711,6771,平和環保一創,環保,51.66,44.4,85.95,104.6,121.70,85.95
67961,6796,晉弘一,生技醫療,106.3,69.5,65.38,98.6,150.81,65.38
67962,6796,晉弘二,生技醫療,100,69.5,69.50,91,130.94,69.50
68041,6804,明係一,其他電子,61.9,15.4,24.88,99.4,399.54,24.88
68061,6806,森崴能源一,再生能源,105,22.65,21.57,97.95,454.07,21.57
68211,6821,聯寶一,其他電子,43.06,52.8,122.62,125.4,102.27,122.62
68231,6823,濾能一,其他電子,76.7,96.8,126.21,108.55,86.01,126.21
68301,6830,汎銓一,半導體設備,147.8,850,575.10,502,87.29,575.10
68351,6835,圓裕一,其他,48.8,37.95,77.77,96.65,124.28,77.77
68401,6840,東研信超一,其他電子,65.7,68.1,103.65,107,103.23,103.65
68431,6843,進典一,其他電子,61.4,46.5,75.73,102.5,135.34,75.73
68461,6846,綠茵一,再生能源,80.4,69,85.82,97,113.03,85.82
68462,6846,綠茵二,再生能源,78,69,88.46,99,111.91,88.46
68541,6854,錼創科技一KY創,光電,248.3,155.5,62.63,107,170.86,62.63
68621,6862,三集瑞一KY,其他,197,170,86.29,105.5,122.26,86.29
68631,6863,永道一KY,其他,294.9,101.5,34.42,91.2,264.97,34.42
68701,6870,騰雲一,其他電子,238.2,179,75.15,104.9,139.59,75.15
68702,6870,騰雲二,其他電子,226.9,179,78.89,102,129.29,78.89
68731,6873,泓德能源一,再生能源,95.4,89.2,93.50,137.55,147.11,93.50
68732,6873,泓德能源二,再生能源,215.4,89.2,41.41,80,193.18,41.41
68741,6874,倍力一,其他電子,103,88.2,85.63,105,122.62,85.63
68901,6890,來億一KY,其他,246.4,156.5,63.51,93,146.42,63.51
68902,6890,來億二KY,其他,245.2,156.5,63.83,94.35,147.83,63.83
68941,6894,衛司特一,其他電子,254.9,335.5,131.62,158,120.04,131.62
69041,6904,伯鑫一,其他電子,130,118,90.77,101.7,112.04,90.77
69131,6913,鴻呈一,其他電子,126,132,104.76,136.15,129.96,104.76
69571,6957,裕慶一KY,其他,190,160.5,84.47,102.95,121.87,84.47
69821,6982,大井泵浦一,機械,63.6,53,83.33,97.6,117.12,83.33
69822,6982,大井泵浦二,機械,61.8,53,85.76,97.95,114.21,85.76
74022,7402,邑錡二,電子零組件,97.6,119.5,122.44,134,109.44,122.44
75561,7556,意德士一永,其他,180.9,305.5,168.88,173,102.44,168.88
75562,7556,意德士二,其他,177.4,305.5,172.21,175,101.62,172.21
77131,7713,威力德生醫一,生技,73.9,67.9,91.88,103.9,113.08,91.88
80212,8021,尖點二,電子零組件,201.8,402.5,199.45,189,94.76,199.45
80273,8027,鈦昇三,半導體,64.74,193.5,298.89,263,87.99,298.89
80282,8028,昇陽半導體二,半導體,138,245,177.54,177,99.70,177.54
80426,8042,金山電六,電源供應,60,58.6,97.67,109.2,111.81,97.67
80506,8050,廣積六,工業電腦,63.3,41.55,65.64,105,159.96,65.64
80872,8087,麗升能源二,再生能源,39.4,33.85,85.91,93.6,108.95,85.91
80914,8091,翔名四,其他電子,127,192,151.18,141.5,93.60,151.18
80924,8092,建暐四,其他電子,14.5,15.8,108.97,122.35,112.28,108.97
81042,8104,錸寶二,光電,69.98,33.25,47.51,95.8,201.63,47.51
811210,8112,至上十,電子通路,73.5,81.7,111.16,122.5,110.21,111.16
81473,8147,正淩三,其他電子,132.1,166,125.66,141.05,112.25,125.66
81551,8155,博智一,其他電子,121.6,416,342.11,338,98.80,342.11
81714,8171,天宇四,其他電子,30.5,22.95,75.25,103,136.88,75.25
81715,8171,天宇五,其他電子,32.4,22.95,70.83,94,132.71,70.83
82102,8210,勤誠二,伺服器,1007.2,1130,112.19,148,131.92,112.19
82103,8210,勤誠三,伺服器,985.3,1130,114.69,148.75,129.70,114.69
82551,8255,朋程一,電子零組件,196.2,136,69.32,103.9,149.89,69.32
82993,8299,群聯三,半導體,2488,1900,76.37,133.8,175.21,76.37
83742,8374,羅昇二,電子通路,132.5,84.3,63.62,94,147.75,63.62
84041,8404,百和興業一KY,紡織,26.8,16.8,62.69,100.2,159.84,62.69
84113,8411,福貞三KY,其他,13.3,12.25,92.11,100.05,108.63,92.11
84221,8422,可寧衛一,環保,14.6,27.75,190.07,234,123.11,190.07
84222,8422,可寧衛二,環保,19,27.75,146.05,146.4,100.24,146.05
84312,8431,匯鑽科二,其他電子,68,63,92.65,106,114.41,92.65
84332,8433,弘帆二,其他電子,94,54.9,58.40,99.6,170.54,58.40
84333,8433,弘帆三,其他電子,97.8,54.9,56.13,99.9,177.96,56.13
84422,8442,威宏二KY,其他,73.9,50,67.66,99.75,147.43,67.66
84623,8462,柏文三,健身,141.2,149,105.52,,,105.52
84662,8466,美吉吉二KY,其他,48.2,15.85,32.88,98.2,298.63,32.88
84672,8467,波力二KY,運動休閒,188.9,146.5,77.55,106.5,137.32,77.55
84673,8467,波力三KY,運動休閒,230.4,146.5,63.59,103.65,163.01,63.59
84732,8473,山林水二,環保,34.1,35.9,105.28,111,105.43,105.28
84781,8478,東哥遊艇一,遊艇,369.5,168.5,45.60,94.3,206.79,45.60
84881,8488,吉源一KY,其他,18.4,10.1,54.89,99.7,181.63,54.89
84891,8489,三貝德一,,27.9,26.35,94.44,115,121.76,94.44
89277,8927,北基七,食品,50.79,19.85,39.08,100.8,257.92,39.08
89278,8927,北基八,食品,47.4,19.85,41.88,99.15,236.76,41.88
89964,8996,高力四,機械,233.5,1250,535.33,500,93.40,535.33
98026,9802,鈺齊六KY,紡織,104.1,77.5,74.45,102.8,138.08,74.45
99063,9906,欣巴巴三,其他,101.5,38.25,37.68,94.4,250.50,37.68
99332,9933,中鼎二,工程,45.5,36.75,80.77,97.5,120.71,80.77
99353,9935,慶豐富三,其他,32.2,18.25,56.68,97.35,171.76,56.68
99392,9939,宏全二,包材,161.2,111.5,69.17,102.05,147.54,69.17
99412,9941,裕融二,租賃,179.3,77.1,43.00,98.4,228.83,43.00
99587,9958,世紀鋼七,再生能源,241.7,101,41.79,97.5,233.32,41.79
99588,9958,世紀鋼八永,再生能源,232.7,101,43.40,97.9,225.56,43.40
